Date,Open,High,Low,Close,Adj Close,Volume
2007-08-30,102.300003,102.389999,102.120003,102.330002,82.107155,10700
2007-08-31,102.050003,102.320000,101.879997,102.300003,82.083069,13200
2007-09-04,101.980003,101.980003,101.739998,101.849998,82.025909,8600
2007-09-05,102.000000,102.349998,102.000000,102.349998,82.428543,25000
2007-09-06,102.349998,102.349998,102.089996,102.099998,82.227264,60200
2007-09-07,102.449997,102.889999,102.449997,102.779999,82.774872,26400
2007-09-10,102.849998,103.139999,102.809998,103.000000,82.952049,73100
2007-09-11,102.930000,102.989998,102.739998,102.739998,82.742653,6900
2007-09-12,102.699997,102.779999,102.550003,102.669998,82.686272,16500
2007-09-13,102.410004,102.470001,102.099998,102.239998,82.339951,134400
2007-09-14,102.599998,102.599998,102.190002,102.339996,82.420525,8200
2007-09-17,102.129997,102.339996,102.129997,102.320000,82.404381,3300
2007-09-18,102.129997,102.449997,102.099998,102.449997,82.509132,6500
2007-09-19,102.410004,102.410004,102.139999,102.400002,82.468834,211500
2007-09-20,102.050003,102.169998,101.629997,101.650002,81.864815,12900
2007-09-21,101.839996,101.989998,101.739998,101.949997,82.106384,28000
2007-09-24,101.930000,102.050003,101.809998,102.040001,82.178894,19800
2007-09-25,102.360001,102.370003,102.120003,102.169998,82.283577,13100
2007-09-26,102.070000,102.269997,102.029999,102.220001,82.323860,18800
2007-09-27,102.260002,102.459999,102.260002,102.449997,82.509132,6800
2007-09-28,102.379997,102.599998,102.269997,102.400002,82.468834,24300
2007-10-01,102.099998,102.220001,101.919998,102.089996,82.510849,46600
2007-10-02,101.980003,102.290001,101.900002,102.239998,82.632065,12400
2007-10-03,102.400002,102.400002,102.040001,102.129997,82.543182,6200
2007-10-04,102.139999,102.260002,102.089996,102.230003,82.623978,9300
2007-10-05,101.800003,101.849998,101.650002,101.750000,82.236076,8400
2007-10-08,101.680000,101.989998,101.680000,101.989998,82.429993,19600
2007-10-09,101.769997,101.790001,101.610001,101.610001,82.122871,37000
2007-10-10,101.480003,101.720001,101.430000,101.660004,82.163361,9000
2007-10-11,101.480003,101.720001,101.389999,101.709999,82.203705,45800
2007-10-12,101.580002,101.650002,101.480003,101.570000,82.090614,42500
2007-10-15,101.300003,101.540001,101.300003,101.489998,82.025970,5600
2007-10-16,101.699997,101.730003,101.589996,101.720001,82.211838,15300
2007-10-17,101.730003,102.120003,101.730003,102.059998,82.486626,10200
2007-10-18,102.300003,102.540001,102.300003,102.529999,82.866455,26200
2007-10-19,102.669998,102.940002,102.669998,102.940002,83.197868,40400
2007-10-22,102.910004,103.059998,102.790001,102.940002,83.197868,11400
2007-10-23,102.599998,103.029999,102.599998,102.900002,83.165504,39900
2007-10-24,103.019997,103.430000,103.019997,103.279999,83.472679,49900
2007-10-25,103.379997,103.419998,103.239998,103.300003,83.488754,10000
2007-10-26,103.150002,103.379997,103.000000,103.209999,83.416069,16800
2007-10-29,103.150002,103.250000,103.010002,103.190002,83.399925,15500
2007-10-30,103.209999,103.220001,103.010002,103.209999,83.416069,12600
2007-10-31,103.080002,103.120003,102.709999,102.849998,83.125122,17800
2007-11-01,102.550003,103.120003,102.550003,103.050003,83.580940,24600
2007-11-02,103.080002,103.440002,103.050003,103.180000,83.686386,12200
2007-11-05,103.400002,103.430000,103.199997,103.220001,83.718811,18300
2007-11-06,103.139999,103.300003,103.089996,103.129997,83.645798,5500
2007-11-07,103.199997,103.570000,103.199997,103.500000,83.945946,30200
2007-11-08,103.559998,103.959999,103.559998,103.820000,84.205429,102400
2007-11-09,104.199997,104.230003,103.949997,104.160004,84.481224,22800
2007-11-12,104.290001,104.300003,104.080002,104.290001,84.586670,13100
2007-11-13,104.080002,104.080002,103.669998,103.669998,84.083733,13700
2007-11-14,103.599998,103.900002,103.599998,103.900002,84.270317,24900
2007-11-15,104.199997,104.449997,103.959999,104.300003,84.594757,21600
2007-11-16,104.199997,104.559998,104.199997,104.300003,84.594757,25100
2007-11-19,104.260002,105.120003,104.260002,104.980003,85.146324,8900
2007-11-20,105.040001,105.250000,104.760002,105.000000,85.162529,75300
2007-11-21,105.580002,105.870003,105.470001,105.650002,85.689705,21400
2007-11-23,105.500000,105.500000,105.209999,105.279999,85.389633,28100
2007-11-26,105.519997,106.349998,105.389999,106.160004,86.103355,47100
2007-11-27,106.250000,106.250000,105.400002,105.589996,85.641090,45000
2007-11-28,105.599998,105.660004,105.169998,105.339996,85.438248,20900
2007-11-29,105.750000,105.910004,105.580002,105.720001,85.746513,25100
2007-11-30,105.449997,105.900002,105.330002,105.900002,85.892517,27500
2007-12-03,108.760002,108.760002,105.610001,106.000000,86.252136,38300
2007-12-04,105.949997,106.129997,105.730003,105.959999,86.219643,57300
2007-12-05,105.900002,106.029999,105.669998,105.820000,86.105667,49600
2007-12-06,105.870003,105.870003,105.370003,105.389999,85.755783,32200
2007-12-07,105.230003,105.330002,104.839996,105.120003,85.536072,51300
2007-12-10,105.239998,105.260002,104.750000,104.809998,85.283875,85200
2007-12-11,105.120003,106.000000,104.900002,106.000000,86.252136,40700
2007-12-12,104.879997,105.500000,104.750000,105.230003,85.625641,54500
2007-12-13,105.160004,105.190002,104.050003,104.940002,85.389618,56400
2007-12-14,104.680000,104.790001,104.510002,104.559998,85.080460,35800
2007-12-17,104.750000,105.110001,104.709999,105.110001,85.527939,51700
2007-12-18,105.059998,105.360001,104.919998,105.070000,85.495384,19900
2007-12-19,105.419998,105.629997,105.050003,105.589996,85.918556,13000
2007-12-20,105.570000,105.790001,105.400002,105.610001,85.934814,26900
2007-12-21,105.389999,105.389999,105.000000,105.080002,85.503571,17500
2007-12-24,104.750000,104.959999,104.750000,104.860001,85.324493,7900
2007-12-26,104.779999,104.900002,104.510002,104.540001,85.064133,14500
2007-12-27,104.540001,104.669998,104.440002,104.660004,85.433121,15800
2007-12-28,104.959999,105.300003,104.900002,105.199997,85.873909,13800
2007-12-31,105.629997,105.629997,105.230003,105.519997,86.135117,204500
2008-01-02,105.660004,106.160004,105.419998,106.070000,86.584091,56600
2008-01-03,106.029999,106.250000,105.900002,106.230003,86.714691,10200
2008-01-04,106.550003,106.699997,106.500000,106.589996,87.008514,65300
2008-01-07,106.540001,106.739998,106.510002,106.699997,87.098335,41100
2008-01-08,106.589996,106.830002,106.449997,106.779999,87.163651,27900
2008-01-09,106.989998,107.180000,106.830002,106.830002,87.204445,122600
2008-01-10,106.910004,107.010002,106.669998,106.769997,87.155479,115900
2008-01-11,106.849998,107.199997,106.839996,107.180000,87.490143,26800
2008-01-14,107.150002,107.269997,107.070000,107.250000,87.547295,39900
2008-01-15,107.419998,107.529999,107.209999,107.529999,87.775871,88200
2008-01-16,107.610001,107.739998,107.349998,107.500000,87.751366,86400
2008-01-17,107.430000,108.059998,107.430000,108.040001,88.192154,39400
2008-01-18,107.900002,108.230003,107.739998,108.000000,88.159523,46300
2008-01-22,109.180000,109.180000,108.550003,108.970001,88.951332,104600
2008-01-23,110.019997,110.019997,108.650002,108.760002,88.779869,49200
2008-01-24,108.709999,108.739998,108.110001,108.110001,88.249321,131500
2008-01-25,107.699997,108.589996,107.610001,108.589996,88.641106,27000
2008-01-28,108.309998,108.580002,108.239998,108.430000,88.510544,48900
2008-01-29,108.220001,108.279999,107.940002,108.110001,88.249321,207500
2008-01-30,107.970001,108.250000,107.790001,108.239998,88.355415,40500
2008-01-31,108.750000,108.760002,108.370003,108.610001,88.657486,77800
2008-02-01,108.580002,108.730003,108.309998,108.570000,88.848152,218100
2008-02-04,108.230003,108.430000,108.209999,108.250000,88.586250,38100
2008-02-05,108.839996,108.989998,108.709999,108.949997,89.159126,65700
2008-02-06,108.739998,108.900002,108.620003,108.820000,89.052681,43900
2008-02-07,108.900002,108.900002,107.970001,108.199997,88.545334,32300
2008-02-08,108.449997,108.779999,108.430000,108.769997,89.011780,114900
2008-02-11,108.830002,109.059998,108.750000,108.910004,89.126411,30900
2008-02-12,108.580002,108.889999,108.330002,108.830002,89.060898,56200
2008-02-13,108.680000,108.930000,108.620003,108.680000,88.938164,194200
2008-02-14,108.489998,108.599998,108.309998,108.480003,88.774506,53500
2008-02-15,108.610001,108.610001,108.449997,108.589996,88.864494,46800
2008-02-19,108.129997,108.370003,107.809998,107.910004,88.308014,56600
2008-02-20,107.839996,108.080002,107.680000,107.760002,88.185318,16300
2008-02-21,107.720001,108.580002,107.709999,108.529999,88.815392,159700
2008-02-22,108.430000,108.680000,108.269997,108.279999,88.610794,60500
2008-02-25,108.139999,108.209999,107.750000,107.839996,88.250732,54000
2008-02-26,107.949997,108.190002,107.910004,108.080002,88.447121,58400
2008-02-27,108.599998,108.629997,108.110001,108.260002,88.594406,15700
2008-02-28,108.720001,109.160004,108.680000,109.110001,89.290047,47200
2008-02-29,109.650002,110.019997,109.550003,110.019997,90.034721,26300
2008-03-03,109.699997,109.800003,109.489998,109.620003,89.905983,162800
2008-03-04,109.820000,110.099998,109.500000,109.580002,89.873177,26900
2008-03-05,109.680000,109.699997,109.239998,109.339996,89.676346,56200
2008-03-06,109.570000,110.010002,109.570000,109.889999,90.127441,45000
2008-03-07,110.330002,110.379997,109.739998,110.190002,90.373444,87200
2008-03-10,110.209999,110.680000,110.180000,110.570000,90.685089,45800
2008-03-11,109.669998,109.820000,109.480003,109.519997,89.823959,30400
2008-03-12,109.720001,110.379997,109.599998,110.360001,90.512901,30700
2008-03-13,110.599998,110.699997,109.989998,110.169998,90.357033,120000
2008-03-14,110.360001,111.040001,110.360001,110.910004,90.963951,191700
2008-03-17,111.480003,111.769997,111.190002,111.440002,91.398689,80300
2008-03-18,111.260002,111.279999,110.650002,110.750000,90.832771,51000
2008-03-19,110.610001,111.279999,110.519997,111.269997,91.259232,162000
2008-03-20,111.260002,111.290001,110.879997,111.150002,91.160835,61100
2008-03-24,110.459999,110.489998,109.820000,109.870003,90.111046,98500
2008-03-25,110.040001,110.199997,109.790001,109.949997,90.176582,67200
2008-03-26,110.239998,110.320000,110.000000,110.250000,90.422661,97100
2008-03-27,110.089996,110.330002,110.000000,110.209999,90.389870,22000
2008-03-28,110.230003,110.440002,110.059998,110.419998,90.562111,36700
2008-03-31,110.680000,110.690002,110.510002,110.629997,90.734322,46300
2008-04-01,109.900002,109.910004,109.400002,109.500000,90.014259,140100
2008-04-02,109.320000,109.389999,109.010002,109.190002,89.759430,137400
2008-04-03,109.430000,109.449997,108.949997,109.029999,89.627892,37500
2008-04-04,109.410004,109.599998,109.410004,109.559998,90.063538,30100
2008-04-07,109.120003,109.279999,108.750000,109.000000,89.603180,84500
2008-04-08,109.180000,109.290001,109.029999,109.050003,89.644295,265400
